,scores,labels
0,0.002984787570312619,0
1,0.0026014833711087704,0
2,0.002821933012455702,0
3,0.0036720247007906437,0
4,0.0030038023833185434,0
5,0.0030261659994721413,0
6,0.0030117121059447527,0
7,0.0030775286722928286,0
8,0.0029935850761830807,0
9,0.0027545117773115635,0
10,0.0030106441117823124,0
11,0.0029221801087260246,0
12,0.0003067005018237978,0
13,0.00036768935387954116,0
14,9.683395910542458e-05,0
15,0.0,0
16,0.0028582741506397724,0
17,0.002748977392911911,0
18,0.0029446487314999104,0
19,0.002787675242871046,0
20,0.004041688982397318,0
21,0.0019269447075203061,0
22,0.0028192864265292883,0
23,0.001915492000989616,0
24,0.0030561520252376795,0
25,0.0029128401074558496,0
26,0.004724827129393816,0
27,0.0030491831712424755,0
28,0.001628271653316915,0
29,0.0014617324341088533,0
30,0.0004960846854373813,0
31,0.0009869999485090375,0
32,0.0031995470635592937,0
33,0.0025603671092540026,0
34,0.0030075639951974154,0
35,0.0029788189567625523,0
36,0.0026995064690709114,0
37,0.002456531161442399,0
38,0.00261065480299294,0
39,0.002687569009140134,0
40,0.7680225968360901,1
41,0.7680228352546692,1
42,0.8483222126960754,1
43,0.7680225968360901,1
44,0.01394663006067276,1
45,0.0033279762137681246,1
46,0.0029840939678251743,1
47,0.013357236981391907,1
48,0.13773345947265625,1
49,0.13773344457149506,1
50,0.13721854984760284,1
51,0.13773350417613983,1
52,0.13773353397846222,1
53,0.13773351907730103,1
54,0.04137692600488663,1
55,0.13773348927497864,1
56,0.040776025503873825,1
57,0.04077599197626114,1
58,0.027436107397079468,1
59,0.04077601805329323,1
60,0.6016538739204407,1
61,1.0,1
62,0.004992770496755838,1
63,0.00509524205699563,1
64,0.06825942546129227,1
65,0.005881399381905794,1
66,0.030195249244570732,1
67,0.0976308137178421,1
68,0.0029897356871515512,1
69,0.0028729652985930443,1
70,0.003406363306567073,1
71,0.003345939563587308,1
72,0.13773348927497864,1
73,0.13773350417613983,1
74,0.19586114585399628,1
75,0.13773350417613983,1
76,0.7680230140686035,1
77,0.7680226564407349,1
78,0.25081393122673035,1
79,0.7680228352546692,1
